Boat,Class,Code,DPN,DPN1,DPN2,DPN3,DPN4
Corinthian,Keelboat,CRT,105.1,(107.90),105.6,102.8,(102.10)
Doughdish (Herreshoff),Keelboat,DDSH,116.3,119.7,(118.20),109.7,(109.70)
Dragon (Int.),Keelboat,DRG,89.5,91.5,90.8,86.7,(86.70)
Ensign,Keelboat,EN,95.7,98.2,96.9,95.7,92.7
Etchells (Int.),Keelboat,ECH22,78.6,79.9,78.5,(76.20),
Fish,Keelboat,FISH,97.1,[101.0],97.4,94.7,
Flying Fifteen (Int.),Keelboat,FLY15,90,,90.3,(90.00),
Fox (Sloop Rig),Keelboat,FOX,87.6,,88.5,86.4,
H-12 1/2 (Herreshoff),Keelboat,H-12,110.9,[114.7],(112.20),(109.70),109.7
H-Boat 27',Keelboat,H-B,[72.3],,,,
Herreshoff S Class w/spi,Keelboat,HSF-S,(86.30),,,,
Hogden,Keelboat,HOG,[96.0],,,,
"Ideal 18 (85% Jib, Spi)",Keelboat,IDE18,95.1,95.2,94.1,93,
International One Des.,Keelboat,IOD,(84.20),,(80.40),,
"Luders 16 (26'4"")",Keelboat,LDR16,90.4,93.3,91.1,86.4,(85.30)
Luders 21,Keelboat,LDR21,95.8,(98.30),96.1,94.7,94.7
Mercury 18,Keelboat,MER18,103.8,,104.2,(97.90),
"Mercury Cape Cod, CB",Keelboat,MER15B,[107.0],,,,
"Mercury Cape Cod, KB",Keelboat,MER15,[105.0],,,,
Nordica 16,Keelboat,NORD,113.5,,(112.50),,
Rainbow,Keelboat,RAIN,95.4,(98.70),96.1,(93.00),
Rhodes 18 (CB Ver.),Keelboat,RDS18B,102,,102.7,(91.10),
Rhodes 19,Keelboat,RDS19,96.9,100.9,99,94.2,92.9
Rhodes 19 (CB Ver.),Keelboat,RDS19B,95.8,100,97,92.2,(90.70)
Rhodes 33,Keelboat,RDS33,84.6,,84.8,,
Shields Class,Keelboat,SHL,84.9,,(84.50),,
"Soling (Int., Class Jib)",Keelboat,SO,82.3,85.3,83.3,82.1,80.1
Sonar (155G),Keelboat,SNR23,79.3,82.1,80.3,78.9,76.7
Sonar (Class Jib),Keelboat,SNR23OD,81,83.3,81.9,79.8,(75.00)
Star (Int.),Keelboat,ST,83.1,83.9,83.3,82.4,(81.50)
Tempest (Int.),Keelboat,TMP,83.4,(85.00),84.5,81.3,(80.70)
"Victory 21 250# Bulb Keel,",Keelboat,w/SpiVIC21L,93.20,94,93.2,(92.40),[92.4]
"Victory 21 w/Gen, No Spi",Keelboat,VIC21,98.30,100.1,98.9,98.2,97.2
Westphal One Design,Keelboat,WOD,85.70,[90.1],(85.90),[82.7],
Yngling,Keelboat,YNG,93.40,(96.10),92.9,(92.10),
Zephyr,Keelboat,ZPY20,(99.00),,,,
